X,Y,color,group,group_num,coverage,pc1_pcnt,pc2_pcnt
-0.02689064,0.035904463,red,coastal mainland,5,1.5,4.9227557,3.9105103
-0.054544087,-0.01266484,blue,coastal mainland,5,1.5,4.9227557,3.9105103
0.07555709,0.066456504,gray,barrier island,1,1.5,4.9227557,3.9105103
-0.11630362,-0.0380329,blue,maine,9,1.5,4.9227557,3.9105103
0.098839186,0.017271709,gray,barrier island,2,1.5,4.9227557,3.9105103
-0.150333,-0.092400685,blue,inland virginia,6,1.5,4.9227557,3.9105103
0.04782584,0.05112827,gray,chesapeake bay,4,1.5,4.9227557,3.9105103
-0.112141564,-0.025755102,blue,inland new york,8,1.5,4.9227557,3.9105103
-0.013875029,0.03925394,red,coastal mainland,5,1.5,4.9227557,3.9105103
0.20172438,-0.11368493,pink,barrier island,3,1.5,4.9227557,3.9105103
-0.12506475,-0.053754766,blue,inland maryland,7,1.5,4.9227557,3.9105103
0.089218326,0.074971765,red,barrier island,2,1.5,4.9227557,3.9105103
-0.12529062,-0.053375214,blue,inland maryland,7,1.5,4.9227557,3.9105103
0.27467594,-0.15408823,pink,barrier island,3,1.5,4.9227557,3.9105103
-0.051960655,-0.002973155,blue,coastal mainland,5,1.5,4.9227557,3.9105103
0.04793759,0.042379875,gray,chesapeake bay,4,1.5,4.9227557,3.9105103
0.07993752,0.04448738,gray,barrier island,1,1.5,4.9227557,3.9105103
-0.12930262,-0.036030456,blue,inland new york,8,1.5,4.9227557,3.9105103
0.25723094,-0.18550456,pink,barrier island,3,1.5,4.9227557,3.9105103
-0.100819044,-0.031070122,blue,maine,9,1.5,4.9227557,3.9105103
0.06835026,0.03436166,red,barrier island,2,1.5,4.9227557,3.9105103
0.10050586,0.47358435,orange,barrier island,1,1.5,4.9227557,3.9105103
-0.03726244,0.034664366,red,coastal mainland,5,1.5,4.9227557,3.9105103
0.07650788,0.11140726,gray,barrier island,1,1.5,4.9227557,3.9105103
0.2810136,-0.1616306,pink,barrier island,3,1.5,4.9227557,3.9105103
-0.09957707,-0.029105775,blue,maine,9,1.5,4.9227557,3.9105103
0.0962332,0.47637722,orange,barrier island,1,1.5,4.9227557,3.9105103
-0.03802064,0.09074059,red,coastal mainland,5,1.5,4.9227557,3.9105103
0.00055754476,0.010678468,gray,coastal mainland,5,1.5,4.9227557,3.9105103
-0.12534696,-0.048404258,blue,inland maryland,7,1.5,4.9227557,3.9105103
-0.15107338,-0.09465839,blue,inland virginia,6,1.5,4.9227557,3.9105103
-0.12537399,-0.051722668,blue,inland new york,8,1.5,4.9227557,3.9105103
0.2549553,-0.18294281,pink,barrier island,3,1.5,4.9227557,3.9105103
0.08164218,0.07753183,gray,barrier island,1,1.5,4.9227557,3.9105103
0.1097237,0.05037293,gray,barrier island,2,1.5,4.9227557,3.9105103
