X,Y,color,group,coverage
-0.016485563,-0.0038312306,blue,coastal,1.5
-0.01766488,-0.056236837,gray,chesapeake,2.5
-0.110338524,0.040500008,gray,coastal,2.5
-0.05348895,-0.009461553,gray,coastal,2.5
-0.11257596,0.068497166,blue,maine,2.5
-0.038673308,-0.06417069,gray,coastal,2.5
-0.045554034,-0.031184444,gray,coastal,2.5
-0.016082494,-0.08132178,gray,coastal,2.5
-0.042401012,-0.040125165,gray,coastal,2.5
-0.12508431,0.08987775,blue,maine,2.5
0.022327926,-0.12592632,red,coastal,2.5
-0.12431053,0.081685655,blue,inland,2.5
-0.025985187,-0.0502993,gray,coastal,2.5
-0.040590856,-0.03621528,gray,coastal,2.5
0.06667016,-0.19729501,orange,barrier,2.5
-0.117404014,0.06208443,blue,maine,2.5
0.11307123,-0.11840772,red,barrier,2.5
-0.12790528,0.12715246,purple,inland,2.5
0.026008135,-0.10549368,gray,chesapeake,2.5
-0.11157181,0.05807436,blue,inland,2.5
-0.02224107,-0.05171638,gray,coastal,2.5
0.22165443,0.15826645,pink,barrier,2.5
-0.1267899,0.07796051,blue,inland,2.5
0.10586586,-0.13983274,red,barrier,2.5
-0.12222378,0.074811466,blue,inland,2.5
0.27927148,0.2513477,pink,barrier,2.5
-0.05548413,0.008322612,gray,coastal,2.5
0.041448787,-0.09792371,red,chesapeake,2.5
0.051853657,-0.12299229,red,barrier,2.5
-0.12520091,0.070981145,blue,inland,2.5
0.25152472,0.19122492,pink,barrier,2.5
-0.12065941,0.06600145,blue,maine,2.5
0.0859764,-0.13675375,red,barrier,2.5
0.083374776,-0.20959225,red,barrier,2.5
-0.023414526,-0.056422878,gray,coastal,2.5
0.08129525,-0.19513531,orange,barrier,2.5
0.28886154,0.2696437,pink,barrier,2.5
-0.115638524,0.059484217,blue,maine,2.5
0.07728173,-0.21285278,red,barrier,2.5
-0.036700163,-0.04638035,gray,coastal,2.5
-0.02979913,-0.05370797,gray,coastal,2.5
-0.12620154,0.07705945,blue,inland,2.5
-0.12735014,0.13127157,purple,inland,2.5
-0.122777194,0.0807833,blue,inland,2.5
0.24852765,0.18366739,pink,barrier,2.5
0.07760331,-0.22088608,orange,barrier,2.5
0.110547096,-0.18336323,red,barrier,2.5
-0.11996103,0.071514845,blue,inland,2.5
-0.124844134,0.07689042,blue,maine,2.5
-0.11811836,0.079455115,blue,inland,2.5
0.041157775,-0.10105617,red,chesapeake,2.5
0.22287662,0.15952249,pink,barrier,2.5
0.09333921,-0.14572302,red,barrier,2.5
-0.0064044185,-0.07441693,gray,coastal,2.5
0.2757097,0.2232058,pink,barrier,2.5
-0.12150146,0.07063098,blue,inland,2.5
0.07578254,-0.21124804,orange,barrier,2.5
-0.12649211,0.08117395,blue,inland,2.5
-0.01827705,-0.0657515,gray,coastal,2.5
-0.118245564,0.06523498,blue,maine,2.5
0.110866465,-0.1229351,red,barrier,2.5
-0.04848248,-0.0006682979,gray,coastal,2.5
0.1021083,-0.1673872,red,barrier,2.5
0.24585015,0.17753953,pink,barrier,2.5
-0.117303275,0.0697647,blue,inland,2.5
-0.052991666,0.0043730615,gray,coastal,2.5
-0.11810495,0.06755467,blue,maine,2.5
0.021099031,-0.08665612,gray,coastal,2.5
-0.019078847,-0.046553243,blue,chesapeake,3.5
-0.11502022,0.01016863,blue,coastal,3.5
-0.0467236,-0.086960085,orange,coastal,3.5
-0.11452896,0.06682978,blue,maine,3.5
-0.04479602,-0.052115265,blue,coastal,3.5
-0.039144617,-0.007397971,blue,coastal,3.5
-0.013285244,-0.15728673,orange,coastal,3.5
-0.04530315,-0.022718484,blue,coastal,3.5
-0.12580611,0.05524445,blue,maine,3.5
0.017849213,-0.17592727,orange,coastal,3.5
-0.12767658,0.08654344,blue,inland,3.5
-0.02401564,-0.042467054,blue,coastal,3.5
-0.049775947,-0.024695551,blue,coastal,3.5
0.06826275,-0.17942992,gray,barrier,3.5
-0.119210064,0.05742688,blue,maine,3.5
0.12503257,-0.13376996,red,barrier,3.5
-0.13545893,0.16502704,purple,inland,3.5
0.03005697,-0.09159919,red,chesapeake,3.5
-0.115142465,0.050872743,blue,inland,3.5
-0.020136105,-0.0403732,blue,coastal,3.5
0.23630802,0.18480712,pink,barrier,3.5
-0.12926786,0.076734014,blue,inland,3.5
0.119748294,-0.14852017,red,barrier,3.5
-0.124199614,0.06805209,blue,inland,3.5
0.2939638,0.2945726,pink,barrier,3.5
-0.053392664,0.00090196455,blue,coastal,3.5
0.052088287,-0.0733254,red,chesapeake,3.5
0.057955947,-0.1192812,red,barrier,3.5
-0.130292,0.07489887,blue,inland,3.5
0.24734423,0.17143257,pink,barrier,3.5
-0.12298877,0.06578964,blue,maine,3.5
0.10359091,-0.1421847,red,barrier,3.5
0.08700587,-0.14157486,red,barrier,3.5
-0.025543332,-0.03774417,blue,coastal,3.5
0.08325095,-0.13697524,gray,barrier,3.5
0.30534756,0.31960255,pink,barrier,3.5
-0.11727423,0.050139442,blue,maine,3.5
0.0778978,-0.14547843,red,barrier,3.5
-0.041428555,-0.019032473,blue,coastal,3.5
-0.037497267,-0.030422837,blue,coastal,3.5
-0.1260374,0.072721586,blue,inland,3.5
-0.13490814,0.17230937,purple,inland,3.5
-0.123247355,0.07710939,blue,inland,3.5
0.24231537,0.15987788,pink,barrier,3.5
0.08192184,-0.20622975,gray,barrier,3.5
0.12300254,-0.20768505,gray,barrier,3.5
-0.124475226,0.06626497,blue,inland,3.5
-0.12870158,0.07601199,blue,maine,3.5
-0.12399661,0.08637638,blue,inland,3.5
0.04742837,-0.08113938,red,chesapeake,3.5
0.23934077,0.18774584,pink,barrier,3.5
0.10362126,-0.15644555,red,barrier,3.5
-0.010161592,-0.054114778,blue,coastal,3.5
0.28370064,0.24153525,pink,barrier,3.5
-0.12660582,0.07040745,blue,inland,3.5
0.08036059,-0.19592701,gray,barrier,3.5
-0.12987292,0.076933004,blue,inland,3.5
-0.017427864,-0.059678786,blue,coastal,3.5
-0.12127665,0.06627455,blue,maine,3.5
0.12133679,-0.14073104,red,barrier,3.5
-0.04571787,-0.0073527824,blue,coastal,3.5
0.11153288,-0.18505031,gray,barrier,3.5
-0.121819094,0.073655106,blue,inland,3.5
-0.049876433,-0.0037092345,blue,coastal,3.5
0.018555576,-0.080198206,red,coastal,3.5
-0.015540045,-0.05730968,orange,chesapeake,5
-0.113603465,0.030319342,blue,coastal,5
-0.11388484,0.051901918,blue,maine,5
-0.046109594,-0.043453604,orange,coastal,5
-0.047116887,-0.017175548,orange,coastal,5
-0.045899868,-0.029446859,orange,coastal,5
-0.12650822,0.065008745,blue,maine,5
-0.13023074,0.07458726,blue,inland,5
-0.0235984,-0.04694122,orange,coastal,5
-0.049059346,-0.029122397,orange,coastal,5
0.06675702,-0.1560643,red,barrier,5
0.13389848,-0.16213934,gray,barrier,5
-0.14585838,0.2190447,blue,inland,5
0.030965472,-0.09856326,red,chesapeake,5
-0.113774866,0.049079828,blue,inland,5
-0.022624299,-0.039704014,orange,coastal,5
0.23665538,0.15488154,pink,barrier,5
-0.13175982,0.067923315,blue,inland,5
0.12749325,-0.16343573,red,barrier,5
-0.12609273,0.05988338,blue,inland,5
0.31573117,0.32784417,pink,barrier,5
-0.05328177,0.0048047868,orange,coastal,5
0.04911682,-0.09268985,red,chesapeake,5
0.060639754,-0.120428145,red,barrier,5
-0.13057981,0.064122714,blue,inland,5
0.2639004,0.19392173,pink,barrier,5
-0.12332414,0.0501963,blue,maine,5
0.11126997,-0.17238224,red,barrier,5
0.09191466,-0.14312117,purple,barrier,5
-0.02863652,-0.03426219,orange,coastal,5
0.087278284,-0.16589832,red,barrier,5
0.3305251,0.36004797,pink,barrier,5
-0.11425681,0.030852785,blue,maine,5
0.0817653,-0.15183277,purple,barrier,5
-0.04460631,-0.0131223,orange,coastal,5
-0.041403193,-0.027488852,orange,coastal,5
-0.12942338,0.06176939,blue,inland,5
-0.14493187,0.22896883,blue,inland,5
-0.12254654,0.05601281,blue,inland,5
0.25802025,0.18068787,pink,barrier,5
0.07838991,-0.17903687,red,barrier,5
0.13237217,-0.23325329,gray,barrier,5
-0.12462625,0.050043948,blue,inland,5
-0.12873802,0.054985292,blue,maine,5
-0.12510571,0.07094053,blue,inland,5
0.050448902,-0.103208944,red,chesapeake,5
0.112490945,-0.18744077,gray,barrier,5
-0.0092440285,-0.0577552,orange,coastal,5
0.3000289,0.25256106,pink,barrier,5
-0.12639362,0.05327373,blue,inland,5
-0.1302989,0.060674824,blue,inland,5
-0.0156241115,-0.046623595,orange,coastal,5
-0.12187318,0.05301161,blue,maine,5
0.12911423,-0.17021772,gray,barrier,5
-0.04652566,-0.0032053455,orange,coastal,5
0.11979372,-0.20237353,gray,barrier,5
-0.12266953,0.063118994,blue,inland,5
-0.051357035,-0.0008645567,orange,coastal,5
0.020860288,-0.10149489,red,coastal,5
-0.017226264,-0.034013648,purple,chesapeake,7.5
-0.14009553,0.03962907,blue,maine,7.5
-0.045936123,-0.03584708,orange,coastal,7.5
-0.061376784,-2.3076193e-05,purple,coastal,7.5
-0.044050127,-0.02702323,orange,coastal,7.5
-0.16459937,0.061635055,blue,inland,7.5
-0.01621466,-0.01819734,orange,coastal,7.5
-0.050626002,-0.02643679,orange,coastal,7.5
0.10407354,-0.10814727,red,barrier,7.5
0.21723823,-0.17427397,gray,barrier,7.5
-0.16405009,0.054905947,blue,inland,7.5
0.06368872,-0.071831,red,chesapeake,7.5
-0.14487316,0.025862895,purple,inland,7.5
-0.012175579,-0.029167855,orange,coastal,7.5
0.2863868,0.441173,pink,barrier,7.5
-0.16688716,0.059535034,blue,inland,7.5
0.19760473,-0.110266574,red,barrier,7.5
-0.16048002,0.04727411,blue,inland,7.5
-0.16845158,0.034670714,purple,inland,7.5
0.30606174,0.47194493,pink,barrier,7.5
0.17399497,-0.13906436,red,barrier,7.5
0.118135214,-0.061070606,red,barrier,7.5
-0.020964893,-0.022324925,orange,coastal,7.5
0.12745546,-0.08979539,red,barrier,7.5
0.307293,0.46343026,pink,barrier,7.5
-0.14591128,0.004372488,purple,maine,7.5
-0.04739805,-0.0043759276,orange,coastal,7.5
